a,aName,b,bName,structural,all,sameFamily,action
"CAN-174","Highlife","CAN-196","Baladi / Masmoudi Saghir","0.889","0.889","false","REVIEW"
"CAN-174","Highlife","CAN-205","Keherwa / 8-beat Drum-Set Adaptation","0.96","0.96","false","MERGE/REVIEW"
"CAN-175","Kpanlogo Drum-Set","CAN-190","Maghreb Chaabi","0.96","0.96","false","MERGE/REVIEW"
"CAN-175","Kpanlogo Drum-Set","CAN-196","Baladi / Masmoudi Saghir","0.889","0.889","false","REVIEW"
"CAN-175","Kpanlogo Drum-Set","CAN-205","Keherwa / 8-beat Drum-Set Adaptation","0.96","0.96","false","MERGE/REVIEW"
"CAN-177","Fanga Drum-Set Adaptation","CAN-186","Amapiano","0.929","0.929","true","REVIEW"
"CAN-180","Soukous","CAN-184","Mbaqanga","0.933","0.933","true","REVIEW"
"CAN-180","Soukous","CAN-204","Teentaal 16-beat Drum-Set Adaptation","0.933","0.933","false","REVIEW"
"CAN-180","Soukous","CAN-210","Reggae Rock","0.933","0.933","false","REVIEW"
"CAN-181","Makossa","CAN-198","Chiftetelli","0.97","0.97","false","MERGE/REVIEW"
"CAN-184","Mbaqanga","CAN-204","Teentaal 16-beat Drum-Set Adaptation","1","1","false","MERGE/REVIEW"
"CAN-187","Sega","CAN-206","Dadra / 6-beat Drum-Set Adaptation","1","1","false","MERGE/REVIEW"
"CAN-187","Sega","CAN-213","World 6/8 Fusion","0.952","0.952","false","REVIEW"
"CAN-188","Maloya","CAN-189","Gnawa Drum-Set","0.941","0.941","false","REVIEW"
"CAN-190","Maghreb Chaabi","CAN-196","Baladi / Masmoudi Saghir","0.923","0.923","true","REVIEW"
"CAN-190","Maghreb Chaabi","CAN-205","Keherwa / 8-beat Drum-Set Adaptation","1","1","false","MERGE/REVIEW"
"CAN-191","Raï","CAN-196","Baladi / Masmoudi Saghir","0.897","0.897","true","REVIEW"
"CAN-191","Raï","CAN-203","Bhangra / Dhol Drum-Set","0.966","0.966","false","MERGE/REVIEW"
"CAN-191","Raï","CAN-209","Latin Rock","0.903","0.903","false","REVIEW"
"CAN-194","Malfuf","CAN-195","Ayoub","0.923","0.923","true","REVIEW"
"CAN-196","Baladi / Masmoudi Saghir","CAN-203","Bhangra / Dhol Drum-Set","0.929","0.929","false","REVIEW"
"CAN-196","Baladi / Masmoudi Saghir","CAN-205","Keherwa / 8-beat Drum-Set Adaptation","0.923","0.923","false","REVIEW"
"CAN-199","Balkan 7/8","CAN-202","Čoček / 9/8 Dance","0.97","0.97","true","MERGE/REVIEW"
"CAN-203","Bhangra / Dhol Drum-Set","CAN-209","Latin Rock","0.933","0.933","false","REVIEW"
"CAN-206","Dadra / 6-beat Drum-Set Adaptation","CAN-213","World 6/8 Fusion","0.952","0.952","false","REVIEW"
