"canonicalId","family","tradition","archetype","strongSourceCount","anySourceCount","sourcePages"
"CAN-196","North Africa / Middle East","Arabic rhythmic cycles","Baladi / Masmoudi Saghir","0","0",""
"CAN-197","North Africa / Middle East","Arabic rhythmic cycles","Masmoudi Kabir","0","0",""
"CAN-198","North Africa / Middle East","Arabic rhythmic cycles","Chiftetelli","0","0",""
"CAN-199","Balkans / Eastern Europe","Aksak & regional","Balkan 7/8","0","0",""
"CAN-200","Balkans / Eastern Europe","Aksak & regional","Balkan 9/8","0","0",""
"CAN-201","Balkans / Eastern Europe","Aksak & regional","Balkan 11/8","0","0",""
"CAN-202","Balkans / Eastern Europe","Aksak & regional","Čoček / 9/8 Dance","0","0",""
"CAN-203","South Asia","Indian & Punjabi adaptations","Bhangra / Dhol Drum-Set","0","0",""
"CAN-204","South Asia","Indian & Punjabi adaptations","Teentaal 16-beat Drum-Set Adaptation","0","0",""
"CAN-205","South Asia","Indian & Punjabi adaptations","Keherwa / 8-beat Drum-Set Adaptation","0","0",""
"CAN-206","South Asia","Indian & Punjabi adaptations","Dadra / 6-beat Drum-Set Adaptation","0","0",""
"CAN-207","Global / Hybrid","Contemporary hybrids","Afro-Cuban Funk","1","1","PDF-2fdfcd6bd899:1"
"CAN-208","Global / Hybrid","Contemporary hybrids","Brazilian Funk","0","0",""
"CAN-209","Global / Hybrid","Contemporary hybrids","Latin Rock","0","0",""
"CAN-210","Global / Hybrid","Contemporary hybrids","Reggae Rock","1","1","PDF-39ddc4b77dca:12"
"CAN-211","Global / Hybrid","Contemporary hybrids","Jazz-Rock Fusion","0","0",""
"CAN-212","Global / Hybrid","Contemporary hybrids","Afrobeat-Funk","0","0",""
"CAN-213","Global / Hybrid","Contemporary hybrids","World 6/8 Fusion","0","0",""
"CAN-214","Latin America","Cuba","Guajira Drum-Set Adaptation","4","6","PDF-92d5ddbcbf60:8|9|36; PDF-6e48001c173e:14|15; PDF-73cfc4ffc14c:61; PDF-d9d0cc68c73f:60; PDF-13c8925b6731:10; PDF-2fdfcd6bd899:7|8|33"
"CAN-215","Latin America","Cuba","Pilón Drum-Set Adaptation","1","2","PDF-13c8925b6731:15; PDF-3187600027fe:3|29"
"CAN-216","Latin America","Cuba","Cáscara Coordination Exercise","8","11","PDF-5d0aaaee12c0:6|10|34; PDF-92d5ddbcbf60:10|14|41; PDF-73cfc4ffc14c:4|5|24|25|26|27|28|29|30|31|32|34|35|52|58|60; PDF-d9d0cc68c73f:3|4|23|24|25|26|27|28|29|30|31|33|34|51|57|59; PDF-13c8925b6731:7; PDF-2fdfcd6bd899:9|13|38; PDF-3187600027fe:6|25; PDF-46c92cd8a043:82; PDF-2bb56376b3d0:1; PDF-e9fb2404ba25:198; PDF-3eb3fd314955:2|9"
"CAN-217","Latin America","Cuba","Mambo Bell Coordination Exercise","5","6","PDF-92d5ddbcbf60:7|10; PDF-73cfc4ffc14c:4|30|31|32|33|34|35|52|58; PDF-d9d0cc68c73f:3|29|30|31|32|33|34|51|57; PDF-2fdfcd6bd899:6|9; PDF-2bb56376b3d0:1; PDF-3eb3fd314955:9"
