"canonicalId","family","tradition","archetype","strongSourceCount","anySourceCount","sourcePages"
"CAN-038","Rock / Pop","Foundational rock","Double-Kick Metal","0","0",""
"CAN-039","Rock / Pop","Foundational rock","Metalcore Half-Time","0","0",""
"CAN-040","Rock / Pop","Foundational rock","Stoner / Heavy Shuffle","0","0",""
"CAN-041","Funk / Soul / R&B","African-American groove","James Brown Funk","0","0",""
"CAN-042","Funk / Soul / R&B","African-American groove","New Orleans Funk / Second Line","7","9","PDF-5d0aaaee12c0:23; PDF-92d5ddbcbf60:26|27|29; PDF-2fdfcd6bd899:25|26; PDF-3187600027fe:3|13|14|15|16; PDF-46c92cd8a043:75; PDF-9e761b1fd58e:4|16|17; PDF-4ef0272514a0:1|2|3|5|6|7|9|10|12|13|14|15|16|17; PDF-595703bb31c1:35|36; PDF-3eb3fd314955:4"
"CAN-043","Funk / Soul / R&B","African-American groove","Meters-style New Orleans Funk","5","9","PDF-92d5ddbcbf60:64; PDF-2fdfcd6bd899:60; PDF-3187600027fe:3|15|16; PDF-5b17d3b0173f:2; PDF-4e08590ad53a:7; PDF-46c92cd8a043:75; PDF-4ef0272514a0:5|6|8|10|16; PDF-595703bb31c1:7|16|28|29|30|36|37|45; PDF-9f544947c841:21"
"CAN-044","Funk / Soul / R&B","African-American groove","P-Funk","3","6","PDF-73cfc4ffc14c:54; PDF-d9d0cc68c73f:53; PDF-5b17d3b0173f:10; PDF-9e761b1fd58e:16; PDF-595703bb31c1:36|41; PDF-9f544947c841:26"
"CAN-045","Funk / Soul / R&B","African-American groove","Motown","2","5","PDF-6b862dc919a1:3|96; PDF-46c92cd8a043:38|67; PDF-4ef0272514a0:16; PDF-595703bb31c1:30; PDF-3eb3fd314955:8"
"CAN-046","Funk / Soul / R&B","African-American groove","Stax / Southern Soul","0","0",""
"CAN-047","Funk / Soul / R&B","African-American groove","Philly Soul","0","0",""
"CAN-048","Funk / Soul / R&B","African-American groove","Boogaloo Funk","0","0",""
"CAN-049","Funk / Soul / R&B","African-American groove","Go-Go","0","1","PDF-4f2f3846064c:62"
"CAN-050","Funk / Soul / R&B","African-American groove","Gospel Pocket","0","0",""
"CAN-051","Funk / Soul / R&B","African-American groove","Gospel Shout","0","0",""
"CAN-052","Funk / Soul / R&B","African-American groove","Neo-Soul","0","0",""
"CAN-053","Funk / Soul / R&B","African-American groove","Modern R&B","1","1","PDF-4ef0272514a0:13|15"
"CAN-054","Funk / Soul / R&B","African-American groove","Linear Funk","0","1","PDF-e3da748daa43:1"
"CAN-055","Funk / Soul / R&B","African-American groove","Ghost-Note Funk","0","0",""
"CAN-056","Funk / Soul / R&B","African-American groove","Disco-Funk / Chic","0","0",""
"CAN-057","Blues / Shuffle","Blues","Chicago Shuffle","1","1","PDF-3187600027fe:3|7"
"CAN-058","Blues / Shuffle","Blues","Texas Shuffle","2","2","PDF-3187600027fe:7; PDF-4e08590ad53a:45"
"CAN-059","Blues / Shuffle","Blues","Slow 12/8 Blues","0","0",""
"CAN-060","Blues / Shuffle","Blues","Straight Blues","0","0",""
"CAN-061","Blues / Shuffle","Blues","Jump Blues","0","0",""
"CAN-062","Blues / Shuffle","Blues","Train Shuffle","0","0",""
"CAN-063","Blues / Shuffle","Blues","Half-Time Shuffle","2","3","PDF-6b862dc919a1:1; PDF-3187600027fe:3|8; PDF-e9fb2404ba25:116|139|140"
"CAN-064","Blues / Shuffle","Blues","Blues Rock Shuffle","0","0",""
"CAN-065","Jazz","Swing & modern","Medium Swing","1","1","PDF-9e761b1fd58e:38"
"CAN-066","Jazz","Swing & modern","Up-Tempo / Bebop Swing","0","0",""
"CAN-067","Jazz","Swing & modern","Two-Feel Swing","0","0",""
"CAN-068","Jazz","Swing & modern","Jazz Ballad","0","0",""
"CAN-069","Jazz","Swing & modern","Brush Ballad","0","0",""
"CAN-070","Jazz","Swing & modern","Brush Swing","0","0",""
"CAN-071","Jazz","Swing & modern","Jazz Waltz 3/4","4","7","PDF-5d0aaaee12c0:25; PDF-92d5ddbcbf60:31; PDF-2fdfcd6bd899:28; PDF-2bb56376b3d0:1; PDF-b03d0e54a31f:1; PDF-9e761b1fd58e:4|19|20; PDF-595703bb31c1:34"
"CAN-072","Jazz","Swing & modern","Jazz Shuffle","0","0",""
"CAN-073","Jazz","Swing & modern","Big Band Swing","0","0",""
"CAN-074","Jazz","Swing & modern","Bebop Comping","0","0",""
"CAN-075","Jazz","Swing & modern","Straight-8 / ECM","0","0",""
"CAN-076","Jazz","Swing & modern","Jazz-Funk","4","6","PDF-92d5ddbcbf60:6|69; PDF-2fdfcd6bd899:5; PDF-3187600027fe:4; PDF-4e08590ad53a:18; PDF-46c92cd8a043:40; PDF-9f544947c841:21"
"CAN-077","Jazz","Swing & modern","Fusion","10","15","PDF-73cfc4ffc14c:5|9|13|15|29|43|54|64; PDF-d9d0cc68c73f:4|8|12|14|28|42|53|63; PDF-81437d754683:1; PDF-3187600027fe:4; PDF-3d5df133b728:81; PDF-5b17d3b0173f:8; PDF-4e08590ad53a:6|46|51; PDF-46c92cd8a043:21|40|84|86|89|101|108; PDF-39ddc4b77dca:9|10|11; PDF-e9fb2404ba25:101|102|103|111; PDF-49294994b537:5; PDF-9e761b1fd58e:50; PDF-4ef0272514a0:16; PDF-595703bb31c1:35|36; PDF-9f544947c841:20|21"
"CAN-078","Jazz","Swing & modern","Afro-Cuban Jazz 6/8","5","5","PDF-92d5ddbcbf60:5|31|64|69; PDF-73cfc4ffc14c:4|10|11|12|13|14|15|17|18|19; PDF-d9d0cc68c73f:3|4|9|10|11|12|13|14|16|17|18; PDF-2fdfcd6bd899:4|28|39|60; PDF-3eb3fd314955:4|9"
"CAN-079","Country / Americana","Country","Train Beat","0","0",""
"CAN-080","Country / Americana","Country","Country Two-Step","0","0",""
"CAN-081","Country / Americana","Country","Country Shuffle","0","0",""
"CAN-082","Country / Americana","Country","Country Waltz","1","1","PDF-3187600027fe:3|9"
"CAN-083","Country / Americana","Country","Western Swing","0","0",""
"CAN-084","Country / Americana","Country","Country Pop / Nashville Straight 8ths","0","0",""
"CAN-085","Country / Americana","Country","Country Rock","1","1","PDF-3187600027fe:3|10"
"CAN-086","Country / Americana","Country","Country 6/8 Ballad","0","0",""
"CAN-087","Country / Americana","Country","Modern Bluegrass Drum-Set","0","0",""
"CAN-088","Country / Americana","Country","Rockabilly Shuffle","0","0",""
"CAN-089","Hip-Hop","Hip-Hop","Old-School Breakbeat","0","0",""
"CAN-090","Hip-Hop","Hip-Hop","Boom Bap","0","0",""
"CAN-091","Hip-Hop","Hip-Hop","West Coast / G-Funk","0","0",""
"CAN-092","Hip-Hop","Hip-Hop","Dilla / Drunk Pocket","0","0",""
"CAN-093","Hip-Hop","Hip-Hop","Lo-Fi Hip-Hop","0","0",""
"CAN-094","Hip-Hop","Hip-Hop","Trap Half-Time","0","0",""
"CAN-095","Hip-Hop","Hip-Hop","Trap Double-Time Hats","0","0",""
"CAN-096","Hip-Hop","Hip-Hop","Drill","1","1","PDF-9e761b1fd58e:54"
"CAN-097","Hip-Hop","Hip-Hop","Jersey Club","0","0",""
"CAN-098","Hip-Hop","Hip-Hop","Sample-Break Pocket","0","0",""
"CAN-099","Jamaica","Jamaican lineage","Mento Drum-Set Adaptation","0","0",""
"CAN-100","Jamaica","Jamaican lineage","Ska","0","0",""
"CAN-101","Jamaica","Jamaican lineage","Rocksteady","0","0",""
"CAN-102","Jamaica","Jamaican lineage","Reggae One Drop","1","1","PDF-3187600027fe:3"
"CAN-103","Jamaica","Jamaican lineage","Reggae Rockers","0","0",""
"CAN-104","Jamaica","Jamaican lineage","Reggae Steppers","0","0",""
"CAN-105","Jamaica","Jamaican lineage","Dub","0","0",""
"CAN-106","Jamaica","Jamaican lineage","Nyabinghi Drum-Set","0","0",""
"CAN-107","Jamaica","Jamaican lineage","Early Dancehall","0","0",""
"CAN-108","Jamaica","Jamaican lineage","Digital Dancehall / Ragga","0","0",""
"CAN-109","Jamaica","Jamaican lineage","Modern Dancehall","0","0",""
"CAN-110","Electronic / Dance","Club music","Disco","15","23","PDF-5d0aaaee12c0:57|58|60; PDF-92d5ddbcbf60:5|6|43|64|65|66; PDF-73cfc4ffc14c:4|5|42|65|66; PDF-d9d0cc68c73f:3|4|41|64|65; PDF-2fdfcd6bd899:4|5|40|60|61|62; PDF-6b862dc919a1:3|96; PDF-3d5df133b728:4|5|9; PDF-5b17d3b0173f:10; PDF-f97e3e83bf02:35|87; PDF-f40b6fc1f4f1:67; PDF-30b03bbca266:26|46|60|66; PDF-474a33d9bfb9:3|17|18|21|34|36|43; PDF-8f225657efb9:3|9|10|17; PDF-fbbdc4070c40:14; PDF-4e08590ad53a:5|22|47; PDF-46c92cd8a043:18; PDF-e9fb2404ba25:81|132; PDF-343bd7b5fc90:25; PDF-0fb73c919618:42; PDF-9e761b1fd58e:7|32; PDF-595703bb31c1:4|5|9|24|37; PDF-9f544947c841:1|15|26; PDF-e584c291e034:6"
"CAN-111","Electronic / Dance","Club music","Classic House","0","0",""
"CAN-112","Electronic / Dance","Club music","Deep House","0","0",""
"CAN-113","Electronic / Dance","Club music","Funky House","0","0",""
"CAN-114","Electronic / Dance","Club music","Techno","2","3","PDF-46c92cd8a043:80; PDF-9e761b1fd58e:33; PDF-4ef0272514a0:11"
"CAN-115","Electronic / Dance","Club music","Detroit Electro","0","0",""
"CAN-116","Electronic / Dance","Club music","Electro-Funk","0","0",""
"CAN-117","Electronic / Dance","Club music","UK Garage / 2-Step","0","0",""
"CAN-118","Electronic / Dance","Club music","Breakbeat / Big Beat","0","0",""
"CAN-119","Electronic / Dance","Club music","Jungle","5","7","PDF-5d0aaaee12c0:58; PDF-92d5ddbcbf60:66; PDF-2fdfcd6bd899:61|62; PDF-e9fb2404ba25:101|103|106; PDF-595703bb31c1:32; PDF-9f544947c841:21; PDF-e584c291e034:7"
"CAN-120","Electronic / Dance","Club music","Drum & Bass","9","13","PDF-92d5ddbcbf60:5; PDF-2fdfcd6bd899:4; PDF-3d5df133b728:6|65|72; PDF-30b03bbca266:4|45|91; PDF-7064fe3e54b3:77; PDF-2792e4f7409a:3; PDF-474a33d9bfb9:4; PDF-8f225657efb9:4; PDF-a6fb626f326f:3; PDF-46c92cd8a043:6; PDF-0fb73c919618:4; PDF-9e761b1fd58e:15|16|41|43; PDF-595703bb31c1:18|20|25"
"CAN-121","Electronic / Dance","Club music","Trip-Hop","0","0",""
"CAN-122","Electronic / Dance","Club music","Trance","5","5","PDF-73cfc4ffc14c:64; PDF-d9d0cc68c73f:63; PDF-f97e3e83bf02:13; PDF-39ddc4b77dca:6; PDF-9e761b1fd58e:48"
"CAN-123","Electronic / Dance","Club music","Dubstep Half-Time","0","0",""
"CAN-124","Electronic / Dance","Club music","Footwork / Juke","0","0",""
"CAN-125","Electronic / Dance","Club music","Synthwave","0","0",""
"CAN-126","Electronic / Dance","Club music","Amapiano","0","0",""
"CAN-127","Electronic / Dance","Club music","Afro House","0","0",""
"CAN-128","Latin America","Cuba","Son","0","0",""
